stream_id,frame_id,detection_count,candidate_region_count,total_candidate_area,largest_candidate_area,coverage_percentage,unexplained_percentage,average_confidence,notes
0zlY0PpjObYEKA2MIUXUzaBtrG1EeXGm,60,0,0,0,0,0.0,100.0,0.0,Normal
0zlY0PpjObYEKA2MIUXUzaBtrG1EeXGm,80,0,0,0,0,0.0,100.0,0.0,Normal
11tnj2tdX_ElmqXEv6kwSXI34_ZWXv-N,0,6,1,1152,1152,58.54102366255144,41.45897633744856,0.5595758656660715,Normal
11tnj2tdX_ElmqXEv6kwSXI34_ZWXv-N,20,1,1,127742,127742,0.7085905349794239,99.29140946502058,0.38967713713645935,"Large gap, Low confidence overlay"
11tnj2tdX_ElmqXEv6kwSXI34_ZWXv-N,40,1,2,25226,19524,0.5451871141975309,99.45481288580247,0.3985326290130615,"Large gap, Low confidence overlay"
11tnj2tdX_ElmqXEv6kwSXI34_ZWXv-N,60,0,1,4154,4154,0.0,100.0,0.0,Large gap
11tnj2tdX_ElmqXEv6kwSXI34_ZWXv-N,80,1,0,0,0,3.9117155349794235,96.08828446502058,0.3150990307331085,Normal
12KBw74zlZrX7OftxToP9-jbVlQNC2MO,0,0,0,0,0,0.0,100.0,0.0,Normal
12KBw74zlZrX7OftxToP9-jbVlQNC2MO,20,0,0,0,0,0.0,100.0,0.0,Normal
12KBw74zlZrX7OftxToP9-jbVlQNC2MO,40,0,0,0,0,0.0,100.0,0.0,Normal
12KBw74zlZrX7OftxToP9-jbVlQNC2MO,60,0,0,0,0,0.0,100.0,0.0,Normal
12KBw74zlZrX7OftxToP9-jbVlQNC2MO,80,0,0,0,0,0.0,100.0,0.0,Normal
1Lq8lR7hV5tj2NVJMsanXs24eQcWV15O,0,0,0,0,0,0.0,100.0,0.0,Normal
1Lq8lR7hV5tj2NVJMsanXs24eQcWV15O,20,0,0,0,0,0.0,100.0,0.0,Normal
1Lq8lR7hV5tj2NVJMsanXs24eQcWV15O,40,0,0,0,0,0.0,100.0,0.0,Normal
1Lq8lR7hV5tj2NVJMsanXs24eQcWV15O,60,0,0,0,0,0.0,100.0,0.0,Normal
1Lq8lR7hV5tj2NVJMsanXs24eQcWV15O,80,0,0,0,0,0.0,100.0,0.0,Normal
1kpnVCiFPJYF9bju4JjDjTXB9M5BcAPY,0,6,0,0,0,1.3482422771437685,98.65175772285623,0.5935312161842982,Normal
1kpnVCiFPJYF9bju4JjDjTXB9M5BcAPY,20,2,0,0,0,0.12550127579795717,99.87449872420204,0.525155559182167,Normal
1kpnVCiFPJYF9bju4JjDjTXB9M5BcAPY,40,3,0,0,0,0.868480983609108,99.1315190163909,0.5396866500377655,Normal
1kpnVCiFPJYF9bju4JjDjTXB9M5BcAPY,60,4,0,0,0,0.8043021229589178,99.19569787704108,0.6263517439365387,Normal
1kpnVCiFPJYF9bju4JjDjTXB9M5BcAPY,80,5,0,0,0,0.5495922697534754,99.45040773024652,0.5155439376831055,Normal
1rL8RTbI4jPqRkavZxrQbbM26iRfSLAH,0,1,0,0,0,9.854736983360173,90.14526301663983,0.5938445925712585,Normal
1rL8RTbI4jPqRkavZxrQbbM26iRfSLAH,20,2,0,0,0,3.165184718429835,96.83481528157016,0.8309500217437744,Normal
1rL8RTbI4jPqRkavZxrQbbM26iRfSLAH,40,1,0,0,0,0.13236890009101732,99.86763109990898,0.4428234398365021,Normal
1rL8RTbI4jPqRkavZxrQbbM26iRfSLAH,60,0,0,0,0,0.0,100.0,0.0,Normal
1rL8RTbI4jPqRkavZxrQbbM26iRfSLAH,80,2,0,0,0,0.11103672197717566,99.88896327802283,0.6970357894897461,Normal
1uta1HvNU3-ba-cqLtGifCvQO3ZC5bEK,0,3,0,0,0,2.8308590437738728,97.16914095622613,0.47358329097429913,Normal
1uta1HvNU3-ba-cqLtGifCvQO3ZC5bEK,20,6,0,0,0,8.735071121846486,91.26492887815351,0.48440411190191907,Normal
1uta1HvNU3-ba-cqLtGifCvQO3ZC5bEK,40,4,0,0,0,23.668689759387618,76.33131024061238,0.6424514055252075,Normal
1uta1HvNU3-ba-cqLtGifCvQO3ZC5bEK,60,0,0,0,0,0.0,100.0,0.0,Normal
1uta1HvNU3-ba-cqLtGifCvQO3ZC5bEK,80,1,0,0,0,1.6880985164959121,98.31190148350409,0.6281695365905762,Normal
28tdwxgz-zPU06lpeDY3OPWTFxZyBv2c,0,1,0,0,0,1.5102695901110101,98.48973040988899,0.9012669324874878,Normal
28tdwxgz-zPU06lpeDY3OPWTFxZyBv2c,20,2,1,8337,8337,2.1335824640014938,97.86641753599851,0.3826240301132202,"Large gap, Low confidence overlay"
28tdwxgz-zPU06lpeDY3OPWTFxZyBv2c,40,5,0,0,0,5.353647401339588,94.64635259866041,0.5423983454704284,Normal
28tdwxgz-zPU06lpeDY3OPWTFxZyBv2c,60,5,0,0,0,1.5433314274156535,98.45666857258435,0.5390473961830139,Normal
28tdwxgz-zPU06lpeDY3OPWTFxZyBv2c,80,2,1,54208,54208,11.791771686620459,88.20822831337954,0.7844827473163605,Large gap
2G1HEWW6tZx5ag8x3t6GeSC_7AAa48Cl,0,0,0,0,0,0.0,100.0,0.0,Normal
2G1HEWW6tZx5ag8x3t6GeSC_7AAa48Cl,20,0,0,0,0,0.0,100.0,0.0,Normal
2G1HEWW6tZx5ag8x3t6GeSC_7AAa48Cl,40,0,0,0,0,0.0,100.0,0.0,Normal
2G1HEWW6tZx5ag8x3t6GeSC_7AAa48Cl,60,0,0,0,0,0.0,100.0,0.0,Normal
2G1HEWW6tZx5ag8x3t6GeSC_7AAa48Cl,80,0,0,0,0,0.0,100.0,0.0,Normal
2PNXmbUT8NLjjdWsbaTNUTZChIw0VZDQ,0,0,0,0,0,0.0,100.0,0.0,Normal
2PNXmbUT8NLjjdWsbaTNUTZChIw0VZDQ,20,0,0,0,0,0.0,100.0,0.0,Normal
2PNXmbUT8NLjjdWsbaTNUTZChIw0VZDQ,40,0,0,0,0,0.0,100.0,0.0,Normal
2PNXmbUT8NLjjdWsbaTNUTZChIw0VZDQ,60,0,0,0,0,0.0,100.0,0.0,Normal
2PNXmbUT8NLjjdWsbaTNUTZChIw0VZDQ,80,0,0,0,0,0.0,100.0,0.0,Normal
2bYF53x7c2mOhjKvuwaM7vJHJaLxxR5V,0,0,1,4199,4199,0.0,100.0,0.0,Large gap
2bYF53x7c2mOhjKvuwaM7vJHJaLxxR5V,20,0,0,0,0,0.0,100.0,0.0,Normal
2bYF53x7c2mOhjKvuwaM7vJHJaLxxR5V,40,4,0,0,0,0.8554142648214272,99.14458573517857,0.4426862448453903,Normal
